[100555, '804904c', '__libc_start_main@plt']
[101929, '804aa33', 'fopen@plt']
[169052, '804aa43', 'feof@plt']
[169926, '804aa5f', 'memset@plt']
[170915, '804a56c', 'fgets@plt']
[172777, '804aa73', 'feof@plt']
[172824, '804aa87', 'strtok@plt']
[173842, '804a433', '__ctype_tolower_loc@plt']
[175037, '804aaa9', 'feof@plt']
[175085, '804aa5f', 'memset@plt']
[175191, '804a56c', 'fgets@plt']
[175598, '804aa73', 'feof@plt']
[175645, '804aa87', 'strtok@plt']
[175789, '804a433', '__ctype_tolower_loc@plt']
[175826, '804aaa9', 'feof@plt']
[175874, '804aa5f', 'memset@plt']
[175980, '804a56c', 'fgets@plt']
[176459, '804aa73', 'feof@plt']
[176506, '804aa87', 'strtok@plt']
[176650, '804a433', '__ctype_tolower_loc@plt']
[176687, '804aaa9', 'feof@plt']
[176735, '804aa5f', 'memset@plt']
[176841, '804a56c', 'fgets@plt']
[177501, '804aa73', 'feof@plt']
[177548, '804aa87', 'strtok@plt']
[177692, '804a433', '__ctype_tolower_loc@plt']
[177729, '804aaa9', 'feof@plt']
[177777, '804aa5f', 'memset@plt']
[177883, '804a56c', 'fgets@plt']
[178114, '804aa73', 'feof@plt']
[178161, '804aa87', 'strtok@plt']
[178287, '804aa43', 'feof@plt']
[178335, '804aa5f', 'memset@plt']
[178441, '804a56c', 'fgets@plt']
[179545, '804aa73', 'feof@plt']
[179592, '804aa87', 'strtok@plt']
[179736, '804a433', '__ctype_tolower_loc@plt']
[179773, '804aaa9', 'feof@plt']
[179821, '804aa5f', 'memset@plt']
[179927, '804a56c', 'fgets@plt']
[180496, '804aa73', 'feof@plt']
[180543, '804aa87', 'strtok@plt']
[180687, '804a433', '__ctype_tolower_loc@plt']
[180724, '804aaa9', 'feof@plt']
[180772, '804aa5f', 'memset@plt']
[180878, '804a56c', 'fgets@plt']
[181109, '804aa73', 'feof@plt']
[181156, '804aa87', 'strtok@plt']
[181282, '804aa43', 'feof@plt']
[181330, '804aa5f', 'memset@plt']
[181436, '804a56c', 'fgets@plt']
[182319, '804aa73', 'feof@plt']
[182366, '804aa87', 'strtok@plt']
[182510, '804a433', '__ctype_tolower_loc@plt']
[182547, '804aaa9', 'feof@plt']
[182595, '804aa5f', 'memset@plt']
[182701, '804a56c', 'fgets@plt']
[182943, '804aa73', 'feof@plt']
[182990, '804aa87', 'strtok@plt']
[183116, '804aa43', 'feof@plt']
[183164, '804aa5f', 'memset@plt']
[183270, '804a56c', 'fgets@plt']
[184372, '804aa73', 'feof@plt']
[184419, '804aa87', 'strtok@plt']
[184563, '804a433', '__ctype_tolower_loc@plt']
[184600, '804aaa9', 'feof@plt']
[184648, '804aa5f', 'memset@plt']
[184754, '804a56c', 'fgets@plt']
[185907, '804aa73', 'feof@plt']
[185954, '804aa87', 'strtok@plt']
[186098, '804a433', '__ctype_tolower_loc@plt']
[186135, '804aaa9', 'feof@plt']
[186183, '804aa5f', 'memset@plt']
[186289, '804a56c', 'fgets@plt']
[187456, '804aa73', 'feof@plt']
[187503, '804aa87', 'strtok@plt']
[187647, '804a433', '__ctype_tolower_loc@plt']
[187684, '804aaa9', 'feof@plt']
[187732, '804aa5f', 'memset@plt']
[187838, '804a56c', 'fgets@plt']
[188198, '804aa73', 'feof@plt']
[188245, '804aa87', 'strtok@plt']
[188389, '804a433', '__ctype_tolower_loc@plt']
[188426, '804aaa9', 'feof@plt']
[188474, '804aa5f', 'memset@plt']
[188580, '804a56c', 'fgets@plt']
[189735, '804aa73', 'feof@plt']
[189782, '804aa87', 'strtok@plt']
[189934, '804a433', '__ctype_tolower_loc@plt']
[189971, '804aaa9', 'feof@plt']
[190019, '804aa5f', 'memset@plt']
[190125, '804a56c', 'fgets@plt']
[191415, '804aa73', 'feof@plt']
[191462, '804aa87', 'strtok@plt']
[191606, '804a433', '__ctype_tolower_loc@plt']
[191643, '804aaa9', 'feof@plt']
[191691, '804aa5f', 'memset@plt']
[191797, '804a56c', 'fgets@plt']
[192305, '804aa73', 'feof@plt']
[192352, '804aa87', 'strtok@plt']
[192526, '804a433', '__ctype_tolower_loc@plt']
[192563, '804aaa9', 'feof@plt']
[192611, '804aa5f', 'memset@plt']
[192717, '804a56c', 'fgets@plt']
[192948, '804aa73', 'feof@plt']
[192995, '804aa87', 'strtok@plt']
[193121, '804aa43', 'feof@plt']
[193169, '804aa5f', 'memset@plt']
[193275, '804a56c', 'fgets@plt']
[194430, '804aa73', 'feof@plt']
[194477, '804aa87', 'strtok@plt']
[194621, '804a433', '__ctype_tolower_loc@plt']
[194658, '804aaa9', 'feof@plt']
[194706, '804aa5f', 'memset@plt']
[194812, '804a56c', 'fgets@plt']
[195994, '804aa73', 'feof@plt']
[196041, '804aa87', 'strtok@plt']
[196185, '804a433', '__ctype_tolower_loc@plt']
[196222, '804aaa9', 'feof@plt']
[196270, '804aa5f', 'memset@plt']
[196376, '804a56c', 'fgets@plt']
[196685, '804aa73', 'feof@plt']
[196732, '804aa87', 'strtok@plt']
[196876, '804a433', '__ctype_tolower_loc@plt']
[196913, '804aaa9', 'feof@plt']
[196961, '804aa5f', 'memset@plt']
[197067, '804a56c', 'fgets@plt']
[197482, '804aa73', 'feof@plt']
[197529, '804aa87', 'strtok@plt']
[197703, '804a433', '__ctype_tolower_loc@plt']
[197740, '804aaa9', 'feof@plt']
[197788, '804aa5f', 'memset@plt']
[197894, '804a56c', 'fgets@plt']
[198125, '804aa73', 'feof@plt']
[198172, '804aa87', 'strtok@plt']
[198298, '804aa43', 'feof@plt']
[198346, '804aa5f', 'memset@plt']
[198452, '804a56c', 'fgets@plt']
[199569, '804aa73', 'feof@plt']
[199616, '804aa87', 'strtok@plt']
[199760, '804a433', '__ctype_tolower_loc@plt']
[199797, '804aaa9', 'feof@plt']
[199845, '804aa5f', 'memset@plt']
[199951, '804a56c', 'fgets@plt']
[200413, '804aa73', 'feof@plt']
[200460, '804aa87', 'strtok@plt']
[200604, '804a433', '__ctype_tolower_loc@plt']
[200641, '804aaa9', 'feof@plt']
[200689, '804aa5f', 'memset@plt']
[200795, '804a56c', 'fgets@plt']
[201392, '804aa73', 'feof@plt']
[201439, '804aa87', 'strtok@plt']
[201613, '804a433', '__ctype_tolower_loc@plt']
[201650, '804aaa9', 'feof@plt']
[201698, '804aa5f', 'memset@plt']
[201804, '804a56c', 'fgets@plt']
[202035, '804aa73', 'feof@plt']
[202082, '804aa87', 'strtok@plt']
[202208, '804aa43', 'feof@plt']
[202256, '804aa5f', 'memset@plt']
[202362, '804a56c', 'fgets@plt']
[203552, '804aa73', 'feof@plt']
[203599, '804aa87', 'strtok@plt']
[203743, '804a433', '__ctype_tolower_loc@plt']
[203780, '804aaa9', 'feof@plt']
[203828, '804aa5f', 'memset@plt']
